condition,mbon_baseline_Hz,mbon_peak_Hz,mbon_mean_Hz,W_KC1,W_KC2
before,0.0,69.99999999818246,65.82800000007218,1.0,1.0
after,0.0,0.0,0.0,0.0,0.0
