trial,W_approach_KC1,W_approach_KC2,W_avoid_KC1,W_avoid_KC2
0,1.0,1.0,1.0,1.0
1,0.23417915230375808,0.7465428196558365,1.8549938541675866,1.283036866786273
2,0.0,0.5291174136619505,3.6815269563265733,1.7599409069373682
3,0.0,0.29750098725404694,6.718454844203635,2.3497914086664413
4,0.0,0.03106749608930967,10.0,3.0742952725563453
5,0.0,0.0,10.0,3.9607417157334863
