time_ms,KC1_rate,KC2_rate,MBON_rate,DAN_rate,DA,cAMP,Ca,kappa,W_KC1,W_KC2,eligibility_KC1,eligibility_KC2
0.0,0.0,0.0,0.0,0.0,19.98,0.03491556738946862,0.10000241194447881,-0.46509565018882554,0.0,0.031064249974822128,0.028295421521741596,0.011318168608696468
1.0,0.0,0.0,0.0,0.0,19.78109670659077,0.035819004104630306,0.10000239991185465,-0.4641921358301172,0.0,0.031031817593027228,0.028267138829764685,0.011306855531905703
2.0,0.0,0.0,0.0,0.0,19.5841735192941,0.03668110870409496,0.10000238793925842,-0.46332995506960195,0.0,0.030999436802494236,0.02823888440775593,0.011295553763102201
3.0,0.0,0.0,0.0,0.0,19.38921072591645,0.03750235727243755,0.10000237602639064,-0.46250863179360974,0.0,0.030967106606307356,0.028210658227458087,0.011284263290983063
4.0,0.0,0.0,0.0,0.0,19.196188810501518,0.038283221025633536,0.10000236417295336,-0.461727694757576,0.0,0.030934826021074415,0.028182460260642146,0.011272984104256686
5.0,0.0,0.0,0.0,0.0,19.005088451376686,0.03902416635978434,0.1000023523786501,-0.4609866775373083,0.0,0.030902594076769725,0.02815429047910732,0.011261716191642757
6.0,0.0,0.0,0.0,0.0,18.8158905192189,0.03972565489935722,0.10000234064318586,-0.4602851184807376,0.0,0.030870409816578806,0.028126148854681003,0.011250459541872232
7.0,0.0,0.0,0.0,0.0,18.628576075139815,0.040388143544944494,0.10000232896626705,-0.45962256066015167,0.0,0.030838272296744754,0.02809803535921876,0.011239214143687335
8.0,0.0,0.0,0.0,0.0,18.443126368789976,0.04101208452054672,0.10000231734760168,-0.4589985518249046,0.0,0.030806180586416345,0.028069949964604275,0.011227979985841541
9.0,0.0,0.0,0.0,0.0,18.259522836481917,0.04159792542038467,0.1000023057868991,-0.4584126443545962,0.0,0.030774133767497856,0.028041892642749342,0.011216757057099569
10.0,0.0,0.0,0.0,0.0,18.077747099331905,0.04214610925524486,0.10000229428387017,-0.4578643952127194,0.0,0.030742130934500515,0.02801386336559384,0.011205545346237371
11.0,0.0,0.0,0.0,0.0,17.897780961420178,0.04265707449836299,0.10000228283822712,-0.4573533659007694,0.0,0.030710171194395616,0.027985862105105685,0.01119434484204211
12.0,0.0,0.0,0.0,0.0,17.71960640796955,0.0431312551308503,0.10000227144968368,-0.45687912241280987,0.0,0.03067825366646929,0.02795788883328081,0.01118315553331216
13.0,0.0,0.0,0.0,0.0,17.543205603542106,0.04356908068666714,0.10000226011795504,-0.45644123519049257,0.0,0.030646377482178865,0.027929943522143147,0.011171977408857094
14.0,0.0,0.0,0.0,0.0,17.368560890253825,0.043970976297148245,0.10000224884275774,-0.45603927907852443,0.0,0.030614541785010867,0.027902026143744582,0.011160810457497667
15.0,0.0,0.0,0.0,0.0,17.195654786007065,0.044337362735084346,0.10000223762380973,-0.4556728332805791,0.0,0.030582745730340522,0.02787413667016494,0.01114965466806581
16.0,0.0,0.0,0.0,0.0,17.024469982740545,0.04466865645836436,0.10000222646083043,-0.45534148131564817,0.0,0.030550988485292918,0.027846275073511964,0.01113851002940462
17.0,0.0,0.0,0.0,0.0,16.85498934469682,0.044965269653182656,0.1000022153535406,-0.455044810974827,0.0,0.030519269228605664,0.02781844132592127,0.01112737653036834
18.0,0.0,0.0,0.0,0.0,16.687195906706943,0.04522761027681567,0.10000220430166243,-0.4547824142785313,0.0,0.030487587150493062,0.02779063539955632,0.011116254159822357
19.0,0.0,0.0,0.0,0.0,16.521072872492283,0.04545608209997217,0.10000219330491945,-0.45455388743414016,0.0,0.030455941452511855,0.0277628572666084,0.011105142906643191
20.0,0.0,0.0,0.0,0.0,16.356603612983143,0.04565108474872144,0.10000218236303667,-0.4543588307940625,0.0,0.030424331347428404,0.0277351068992966,0.011094042759718472
21.0,0.0,0.0,0.0,0.0,16.19377166465423,0.04581301374600352,0.10000217147574034,-0.4541968488142187,0.0,0.03039275605908737,0.02770738426986778,0.011082953707946942
22.0,0.0,0.0,0.0,0.0,16.03256072787661,0.04594226055272574,0.10000216064275817,-0.4540675500129395,0.0,0.030361214822281882,0.02767968935059653,0.011071875740238442
23.0,0.0,0.0,0.0,0.0,15.872954665286112,0.046039212608449634,0.10000214986381925,-0.453970546930272,0.0,0.030329706882625124,0.027652022113785164,0.011060808845513892
24.0,0.0,0.0,0.0,0.0,15.714937500167952,0.0461042533716723,0.1000021391386539,-0.4539054560876922,0.0,0.030298231496423366,0.027624382531763667,0.011049753012705292
25.0,0.0,0.0,0.0,0.0,15.558493414857463,0.04613776235970628,0.10000212846699388,-0.4538718979482196,0.0,0.030266787930550418,0.027596770576889695,0.011038708230755702
26.0,0.0,0.0,0.0,0.0,15.403606749156712,0.046140115188161884,0.10000211784857228,-0.45386949687692874,0.0,0.030235375462323463,0.02756918622154853,0.011027674488619237
27.0,0.0,0.0,0.0,0.0,15.250261998766923,0.04611168361003606,0.10000210728312348,-0.45389788110185464,0.0,0.030203993379380296,0.027541629438153064,0.011016651775261049
28.0,0.0,0.0,0.0,0.0,15.098443813736472,0.04605283555441152,0.10000209677038323,-0.4539566826752881,0.0,0.03017264097955792,0.027514100199143743,0.011005640079657321
29.0,0.0,0.0,0.0,0.0,14.948136996924339,0.04596628702837342,0.10000208631008857,-0.4540431855227858,0.0,0.0301413175804097,0.02748659847698857,0.010994639390795253
