trial,W_KC1,W_KC2,delta_W_KC1,delta_W_KC2
0,1.0,1.0,0.0,0.0
1,0.23417915230375808,0.7465428196558365,-0.7658208476962419,-0.25345718034416354
2,0.0,0.5291174136619505,-1.0,-0.47088258633804947
3,0.0,0.29750098725404694,-1.0,-0.702499012745953
4,0.0,0.03106749608930967,-1.0,-0.9689325039106903
5,0.0,0.0,-1.0,-1.0
