pre,post,weight
720575940626986885,720575940637526750,22
720575940639080765,720575940619154891,22
720575940621333696,720575940614199914,22
720575940607687260,720575940610101210,22
720575940623945404,720575940615456985,22
720575940609447179,720575940631686308,22
720575940606649865,720575940616781241,22
720575940621529435,720575940612587286,22
720575940637628762,720575940626474889,22
720575940609447179,720575940604766153,22
720575940630549370,720575940629500542,22
720575940619280705,720575940646598788,22
720575940631054634,720575940615101452,22
720575940626986885,720575940612765846,22
720575940621529435,720575940621334980,22
720575940609447179,720575940622891277,22
720575940630549370,720575940618894246,22
720575940621533985,720575940628773113,22
720575940621316033,720575940642328736,22
720575940621529435,720575940618667143,22
720575940638624189,720575940623691920,22
720575940630549370,720575940626668304,22
720575940609447179,720575940638903248,22
720575940639080765,720575940621973018,22
720575940629279544,720575940614768278,22
720575940621529435,720575940603673120,22
720575940639080765,720575940624032264,22
720575940630549370,720575940628152838,22
720575940621529435,720575940649649529,22
720575940606649865,720575940637404750,22
720575940621533985,720575940651816950,22
720575940619280705,720575940635213998,22
720575940638624189,720575940643266852,22
720575940606649865,720575940618148406,22
720575940621333696,720575940620223398,22
720575940606649865,720575940607010825,22
720575940621529435,720575940614524127,22
720575940619280705,720575940637846618,22
720575940637628762,720575940610336610,22
720575940630895055,720575940630265952,22
720575940621529435,720575940622558941,22
720575940616020795,720575940609950869,22
720575940619280705,720575940628697982,22
720575940630549370,720575940620603245,22
720575940621529435,720575940624609101,22
720575940621529435,720575940609226702,22
720575940630549370,720575940630935570,22
720575940616020795,720575940637434601,22
720575940621529435,720575940621892122,22
720575940631054634,720575940606954114,22
720575940621533985,720575940639749109,22
720575940623945404,720575940622637804,22
720575940606649865,720575940611210865,21
720575940639080765,720575940632169007,21
720575940639080765,720575940627292218,21
720575940606649865,720575940611111061,21
720575940639080765,720575940621730687,21
720575940639080765,720575940634914552,21
720575940637628762,720575940615696070,21
720575940606649865,720575940622451273,21
720575940621529435,720575940637169998,21
720575940631054634,720575940633989999,21
720575940621529435,720575940608393739,21
720575940621533985,720575940606968962,21
720575940621533985,720575940619597761,21
720575940607687260,720575940646606724,21
720575940630549370,720575940637907428,21
720575940639080765,720575940607010825,21
720575940606649865,720575940614811222,21
720575940630549370,720575940626794027,21
720575940607687260,720575940627170898,21
720575940623945404,720575940647714425,21
720575940637628762,720575940626669957,21
720575940609447179,720575940630452388,21
720575940638624189,720575940624107706,21
720575940609447179,720575940625532689,21
720575940630549370,720575940627336209,21
720575940630549370,720575940606452681,21
720575940637628762,720575940622671613,21
720575940621529435,720575940625476708,21
720575940637628762,720575940610175218,21
720575940617917760,720575940623947500,21
720575940617917760,720575940632068383,21
720575940639080765,720575940620407628,21
720575940629279544,720575940631024682,21
720575940621529435,720575940618517440,21
720575940621529435,720575940630219567,21
720575940637628762,720575940622102763,21
720575940623945404,720575940634954164,21
720575940638624189,720575940605180337,21
720575940631054634,720575940627150090,21
720575940616020795,720575940631625272,21
720575940619280705,720575940606621362,21
720575940621529435,720575940615876294,21
720575940621333696,720575940607351747,21
720575940630549370,720575940629240079,21
720575940639080765,720575940608456715,21
720575940621333696,720575940627097361,21
720575940613864401,720575940632940442,21
720575940630549370,720575940627244699,21
720575940621333696,720575940616781241,21
720575940621529435,720575940627292218,21
720575940607439964,720575940619828359,21
720575940607439964,720575940621389764,21
720575940639121571,720575940629545027,21
720575940630549370,720575940613773566,21
720575940621529435,720575940612421290,21
720575940617917760,720575940636224142,20
720575940630895055,720575940619028289,20
720575940621533985,720575940612435454,20
720575940609447179,720575940619414132,20
720575940639080765,720575940624516339,20
720575940626986885,720575940629277687,20
720575940639080765,720575940640756621,20
720575940607439964,720575940618015773,20
720575940607687260,720575940612770418,20
720575940630549370,720575940623586999,20
720575940606649865,720575940621225910,20
720575940607439964,720575940630733137,20
720575940621529435,720575940624158352,20
720575940619280705,720575940605196465,20
720575940609447179,720575940633073760,20
720575940631054634,720575940605627057,20
720575940638624189,720575940610690162,20
720575940621529435,720575940644843031,20
720575940637628762,720575940629545027,20
720575940621533985,720575940623191334,20
720575940638624189,720575940617734603,20
720575940619280705,720575940619954091,20
720575940634325087,720575940621924103,20
720575940630549370,720575940625807108,20
720575940607687260,720575940608823509,20
720575940638624189,720575940616052625,20
720575940613864401,720575940628209212,20
720575940609447179,720575940622886925,20
720575940629279544,720575940634914552,20
720575940619280705,720575940605507249,20
720575940621533985,720575940621415885,20
720575940616020795,720575940616569227,20
720575940629279544,720575940626582842,20
720575940619280705,720575940622133206,20
720575940637628762,720575940622641132,20
720575940607687260,720575940629406012,20
720575940607687260,720575940624859032,20
720575940623945404,720575940628787962,20
720575940630549370,720575940629824828,20
720575940637628762,720575940639726555,20
720575940642492576,720575940625762447,20
720575940621333696,720575940625454640,20
720575940613864401,720575940620354849,20
720575940609447179,720575940630026856,20
720575940606649865,720575940620811073,20
720575940638624189,720575940622542517,20
720575940639080765,720575940645248878,20
720575940616020795,720575940619156565,20
720575940621529435,720575940617473051,20
720575940634325087,720575940606621362,20
720575940637628762,720575940613774334,20
720575940621316033,720575940611343054,20
720575940639080765,720575940606483723,20
720575940637628762,720575940626676120,20
720575940617917760,720575940606891221,20
720575940607439964,720575940617473748,20
720575940621529435,720575940616350011,20
720575940606649865,720575940620303040,20
720575940621333696,720575940610375726,20
720575940607439964,720575940624577613,20
720575940621529435,720575940624584579,20
720575940607687260,720575940631425235,20
720575940619280705,720575940625486692,20
720575940629279544,720575940622894349,20
720575940613864401,720575940629022875,20
720575940621529435,720575940628807503,20
720575940639080765,720575940630868013,20
720575940621529435,720575940620655169,20
720575940630549370,720575940624852120,20
720575940623945404,720575940613383633,20
720575940637628762,720575940623441387,20
720575940609447179,720575940634231999,20
720575940616566133,720575940619078592,20
720575940639080765,720575940621010804,20
720575940621529435,720575940622972686,20
720575940621529435,720575940621044701,20
720575940621533985,720575940611686809,20
720575940637628762,720575940635803876,20
720575940607439964,720575940629782091,19
720575940607439964,720575940621922398,19
720575940607687260,720575940630687827,19
720575940637628762,720575940615896989,19
720575940630549370,720575940624265572,19
720575940637628762,720575940615974493,19
720575940616020795,720575940619744960,19
720575940617917760,720575940618266747,19
720575940621529435,720575940615193100,19
720575940619280705,720575940654491553,19
720575940607439964,720575940622013564,19
720575940632868563,720575940640688336,19
720575940642492576,720575940629855340,19
720575940630549370,720575940624516339,19
720575940616566133,720575940637190990,19
720575940630549370,720575940629201423,19
720575940621529435,720575940613867682,19
720575940638624189,720575940615409625,19
720575940632868563,720575940621056577,19
720575940617917760,720575940615409625,19
720575940617917760,720575940626510211,19
720575940630895055,720575940610907490,19
720575940637628762,720575940622637804,19
720575940638624189,720575940625508400,19
720575940621529435,720575940623016644,19
720575940638624189,720575940633570808,19
720575940613864401,720575940607715420,19
720575940638624189,720575940627741562,19
720575940623945404,720575940644136983,19
720575940638624189,720575940631875097,19
720575940639080765,720575940621560052,19
720575940631054634,720575940627750647,19
720575940637628762,720575940622820586,19
720575940607439964,720575940619781620,19
720575940623945404,720575940626535434,19
720575940621533985,720575940611045700,19
720575940631054634,720575940629633150,19
720575940607439964,720575940624487572,19
720575940607687260,720575940637704765,19
720575940637628762,720575940625329029,19
720575940642492576,720575940636553306,19
720575940609447179,720575940639118168,19
720575940617917760,720575940631667937,19
720575940613864401,720575940618779118,19
720575940607687260,720575940624125626,19
720575940621316033,720575940609684946,19
720575940639080765,720575940622773784,19
720575940626986885,720575940637754019,19
720575940633499548,720575940612008818,19
720575940630549370,720575940610101210,19
720575940639080765,720575940628295242,19
720575940621529435,720575940645377668,19
720575940630549370,720575940627987756,19
720575940621529435,720575940652799649,19
720575940626986885,720575940627687940,19
720575940630549370,720575940628519020,19
720575940639080765,720575940646697780,19
720575940626986885,720575940614186602,19
720575940630895055,720575940615323990,19
720575940638624189,720575940630269660,19
720575940621529435,720575940618266900,19
720575940638624189,720575940630419364,19
720575940630895055,720575940619652555,19
720575940607439964,720575940638964131,19
720575940639080765,720575940620500417,19
720575940630549370,720575940603050668,19
720575940639080765,720575940629624702,19
720575940621333696,720575940629507450,19
720575940606649865,720575940614186602,19
720575940639121571,720575940612384665,19
720575940617917760,720575940611129571,19
720575940621529435,720575940627861736,19
720575940619280705,720575940620608238,19
720575940619280705,720575940624852120,19
720575940639080765,720575940619519909,19
720575940629279544,720575940627568646,19
720575940639121571,720575940615243020,19
720575940621529435,720575940631868999,19
720575940619280705,720575940618894246,19
720575940621529435,720575940629942844,19
720575940637628762,720575940632718291,19
720575940606649865,720575940633212779,19
720575940619280705,720575940618182535,19
