supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
80855130706656996,720575940614845802,149384.0,28224.0,4550.0,149384.0,28224.0,4550.0,6313688.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp1,MBp1,dopamine,0.758698356848883,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022834,FBbt_00111061,,isomorphic,,,
81136743122097093,720575940628787962,153168.0,29344.0,4373.0,153168.0,29344.0,4373.0,6318076.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.7341923613668035,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022840,FBbt_00111061,,isomorphic,,,
81277893061258541,720575940625300254,154864.0,36376.0,5189.0,154864.0,36376.0,5189.0,6356813.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.7456698648484812,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022845,FBbt_00111061,,isomorphic,,,
80995661969467281,720575940625564816,151256.0,25144.0,4007.0,151256.0,25144.0,4007.0,6309039.0,intrinsic,central,Kenyon_Cell,,17488.0,KCapbp-m,KCa'b'-m,MBp1,MBp1,dopamine,0.509993554140005,acetylcholine; acetylcholine,"Barnstedt et al. 2016 (immuno, RNAi); Aso et al. 2019 (scRNA-seq)",right,,fw022846,FBbt:00100253,,isomorphic,,,
80926117993136499,720575940621462797,150354.0,36899.0,4975.0,149416.0,34888.0,4888.0,6352019.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp2,MBp2,dopamine,0.7856928674860967,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022852,FBbt_00111061,,isomorphic,,,
80996486737294437,720575940631667937,150888.0,37476.0,4974.0,149568.0,35920.0,5062.0,6352043.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp2,MBp2,dopamine,0.7592353479883649,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022860,FBbt_00111061,,isomorphic,,,
81630286337014298,720575940622972686,159751.0,43902.0,3976.0,167736.0,35056.0,4787.0,7075534.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp4,MBp4,dopamine,0.8086278972827847,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022866,FBbt_00111061,,isomorphic,,,
81559848940234546,720575940610029432,159280.0,43127.0,4294.0,166904.0,33328.0,4736.0,7075208.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp4,MBp4,dopamine,0.6725492276133077,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022869,FBbt_00111061,,isomorphic,,,
81559780288132935,720575940631835673,159216.0,41600.0,4989.0,159216.0,41600.0,4989.0,6824825.0,intrinsic,central,Kenyon_Cell,KCab,11862.0,KCab,KCab-s,MBp2,MBp2,dopamine,0.5931666488478432,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno, RNAi); Johard et al. (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022873,FBbt_00100248,,isomorphic,,,
80996143072410771,720575940613773566,150624.0,32256.0,4167.0,150624.0,32256.0,4167.0,6315206.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp1,MBp1,dopamine,0.8273823673832565,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw022879,FBbt_00111061,,isomorphic,,,
