pre,post,weight
720575940609460491,720575940624852120,25
720575940622726271,720575940625486692,25
720575940622726271,720575940616647990,25
720575940619280705,720575940659297153,25
720575940622726271,720575940635884911,25
720575940622726271,720575940619742656,25
720575940622726271,720575940622217033,25
720575940630549370,720575940619028289,24
720575940615366055,720575940618657950,24
720575940637628762,720575940629211666,24
720575940609460491,720575940639090997,24
720575940619071005,720575940616887966,24
720575940619071005,720575940610191795,24
720575940619280705,720575940617926198,24
720575940609460491,720575940620931750,24
720575940619071005,720575940624327196,24
720575940619071005,720575940610793395,24
720575940619071005,720575940611855729,24
720575940622726271,720575940631801401,24
720575940609460491,720575940631880217,24
720575940619280705,720575940625969640,24
720575940609460491,720575940610167987,24
720575940637628762,720575940622005025,24
720575940622726271,720575940620460108,24
720575940609460491,720575940629417728,24
720575940619071005,720575940619147349,24
720575940609460491,720575940626331978,24
720575940622726271,720575940639727067,24
720575940615366055,720575940626253318,24
720575940622726271,720575940647714425,24
720575940615366055,720575940629277687,24
720575940622726271,720575940606483467,24
720575940622726271,720575940628491792,24
720575940622726271,720575940621553535,24
720575940622726271,720575940632068383,24
720575940638624189,720575940628209212,24
720575940630549370,720575940631453922,24
720575940619071005,720575940633908124,24
720575940622726271,720575940632164269,24
720575940622726271,720575940612714671,24
720575940630549370,720575940614148283,23
720575940615366055,720575940621709132,23
720575940615366055,720575940623166471,23
720575940622726271,720575940634800282,23
720575940615366055,720575940618203783,23
720575940609460491,720575940620303040,23
720575940613864401,720575940620344837,23
720575940622726271,720575940629625466,23
720575940637628762,720575940630026856,23
720575940638624189,720575940606864341,23
720575940622726271,720575940621983777,23
720575940622726271,720575940621477402,23
720575940613864401,720575940632353499,23
720575940619280705,720575940632676409,23
720575940609460491,720575940625800741,23
720575940609460491,720575940628353244,23
720575940619071005,720575940608662485,23
720575940638624189,720575940611586453,23
720575940609460491,720575940629271596,23
720575940622726271,720575940629271596,23
720575940619280705,720575940633908124,23
720575940622726271,720575940630764741,23
720575940622726271,720575940619375701,23
720575940619071005,720575940620059045,23
720575940622726271,720575940607715420,23
720575940622726271,720575940612706706,23
720575940619280705,720575940614772383,23
720575940607687260,720575940625765306,23
720575940622726271,720575940649649529,23
720575940619071005,720575940638619358,23
720575940630549370,720575940626975899,23
720575940609460491,720575940604478176,23
720575940637628762,720575940627986220,23
720575940630549370,720575940626702232,23
720575940619071005,720575940614027059,23
720575940622726271,720575940618210251,23
720575940619071005,720575940637788494,23
720575940607687260,720575940626646544,23
720575940619280705,720575940652342006,23
720575940615366055,720575940605507249,23
720575940609460491,720575940619693003,23
720575940619071005,720575940637695395,23
720575940619071005,720575940639090997,23
720575940622726271,720575940632583831,23
720575940619280705,720575940615964884,23
720575940615366055,720575940615728102,23
720575940609460491,720575940610386661,23
